run_id,message_id,device_id,payload_number,send_timestamp_ns,payload_size_bytes,published_by_client
20260618_165935_586298,20260618_165935_586298-058-02,058,2,1781776777363843000,145,1
20260618_165935_586298,20260618_165935_586298-058-03,058,3,1781776777369923800,145,1
20260618_165935_586298,20260618_165935_586298-058-04,058,4,1781776777376291600,143,1
20260618_165935_586298,20260618_165935_586298-058-05,058,5,1781776777382183400,144,1
20260618_165935_586298,20260618_165935_586298-059-01,059,1,1781776777387967500,143,1
20260618_165935_586298,20260618_165935_586298-059-02,059,2,1781776777393765100,145,1
20260618_165935_586298,20260618_165935_586298-059-03,059,3,1781776777399721500,144,1
20260618_165935_586298,20260618_165935_586298-059-04,059,4,1781776777406548500,144,1
20260618_165935_586298,20260618_165935_586298-059-05,059,5,1781776777412956000,145,1
20260618_165935_586298,20260618_165935_586298-060-01,060,1,1781776777419540600,144,1
20260618_165935_586298,20260618_165935_586298-060-02,060,2,1781776777426018400,145,1
20260618_165935_586298,20260618_165935_586298-060-03,060,3,1781776777432585600,144,1
20260618_165935_586298,20260618_165935_586298-060-04,060,4,1781776777440116900,144,1
20260618_165935_586298,20260618_165935_586298-060-05,060,5,1781776777446887300,145,1
20260618_165935_586298,20260618_165935_586298-061-01,061,1,1781776777453165800,144,1
20260618_165935_586298,20260618_165935_586298-061-02,061,2,1781776777459336600,144,1
20260618_165935_586298,20260618_165935_586298-061-03,061,3,1781776777465909200,143,1
20260618_165935_586298,20260618_165935_586298-061-04,061,4,1781776777473237000,145,1
20260618_165935_586298,20260618_165935_586298-061-05,061,5,1781776777479709700,144,1
20260618_165935_586298,20260618_165935_586298-062-01,062,1,1781776777485986400,143,1
20260618_165935_586298,20260618_165935_586298-062-02,062,2,1781776777491925500,144,1
20260618_165935_586298,20260618_165935_586298-062-03,062,3,1781776777498394600,144,1
20260618_165935_586298,20260618_165935_586298-062-04,062,4,1781776777504536100,143,1
20260618_165935_586298,20260618_165935_586298-062-05,062,5,1781776777510384200,143,1
20260618_165935_586298,20260618_165935_586298-063-01,063,1,1781776777516322100,144,1
20260618_165935_586298,20260618_165935_586298-063-02,063,2,1781776777522942000,142,1
20260618_165935_586298,20260618_165935_586298-063-03,063,3,1781776777529487900,144,1
